------------------------------------------------------------
Server listening on UDP port 5001 with pid 1400
Read buffer size: 1.44 KByte (Dist bin width= 183 Byte)
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 169.254.18.165%eth1 port 5001 connected with 169.254.21.222 port 46722 (peer 2.0.14-alpha)
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  inP NetPwr
[  3] 16.0000-16.5000 sec   119 KBytes  1.95 Mbits/sec   0.410 ms    0/   83 (0%) 1110.108/1080.924/1113.155/ 9.460 ms  178 pps  284 KByte 0.22
[  3] 16.5000-17.0000 sec   121 KBytes  1.98 Mbits/sec   0.402 ms    0/   84 (0%) 1143.092/1113.155/1146.190/ 9.591 ms  178 pps  293 KByte 0.22
[  3] 17.0000-17.5000 sec   119 KBytes  1.95 Mbits/sec   0.401 ms    0/   83 (0%) 1176.426/1146.190/1178.623/ 9.445 ms  178 pps  301 KByte 0.21
[  3] 17.5000-18.0000 sec   119 KBytes  1.95 Mbits/sec   0.393 ms    0/   83 (0%) 1209.350/1178.623/1211.255/ 9.462 ms  178 pps  310 KByte 0.20
[  3] 18.0000-18.5000 sec   121 KBytes  1.98 Mbits/sec   0.438 ms    0/   84 (0%) 1242.348/1211.255/1244.204/ 9.572 ms  178 pps  318 KByte 0.20
[  3] 18.5000-19.0000 sec   119 KBytes  1.95 Mbits/sec   0.398 ms    0/   83 (0%) 1275.574/1244.204/1276.585/ 9.389 ms  178 pps  327 KByte 0.19
[  3] 19.0000-19.5000 sec   119 KBytes  1.95 Mbits/sec   0.390 ms    0/   83 (0%) 1308.436/1276.585/1309.104/ 9.463 ms  178 pps  335 KByte 0.19
[  3] 19.5000-20.0000 sec   121 KBytes  1.98 Mbits/sec   0.400 ms    0/   84 (0%) 1341.377/1309.104/1342.196/ 9.570 ms  178 pps  343 KByte 0.18
[  3] 20.0000-20.5000 sec   119 KBytes  1.95 Mbits/sec   0.392 ms    0/   83 (0%) 1374.718/1342.196/1374.635/ 9.458 ms  178 pps  352 KByte 0.18
[  3] 20.5000-21.0000 sec   156 KBytes  2.56 Mbits/sec   3.305 ms    0/  109 (0%) 1380.656/1263.556/1402.232/37.186 ms  178 pps  353 KByte 0.23
[  3] 21.0000-21.0893 sec  61.7 KBytes  5.66 Mbits/sec   3.481 ms    0/   43 (0%) 1217.137/1114.335/1263.556/43.938 ms  178 pps  312 KByte 0.58
[  3] 0.0000-21.0893 sec  5.00 MBytes  1.99 Mbits/sec   3.481 ms    0/ 3570 (0%) 730.445/32.336/1402.232/399.032 ms  169 pps  177 KByte 0.34
