"No.","Time","Source","Destination","Protocol","Length","Info"
"45","2023-05-15 14:27:17,706998851","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"46","2023-05-15 14:27:17,710736249","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"47","2023-05-15 14:27:17,714481301","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"48","2023-05-15 14:27:17,718225705","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"49","2023-05-15 14:27:17,722222211","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"50","2023-05-15 14:27:17,726110995","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"51","2023-05-15 14:27:17,729419792","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"52","2023-05-15 14:27:17,733057304","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"53","2023-05-15 14:27:17,737251172","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"54","2023-05-15 14:27:17,741025673","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"55","2023-05-15 14:27:17,744511224","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"56","2023-05-15 14:27:17,748490058","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"57","2023-05-15 14:27:17,752207865","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"58","2023-05-15 14:27:17,755655963","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"59","2023-05-15 14:27:17,759321287","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"60","2023-05-15 14:27:17,763063025","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"61","2023-05-15 14:27:17,766793381","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"62","2023-05-15 14:27:17,770555928","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"63","2023-05-15 14:27:17,774235661","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"64","2023-05-15 14:27:17,778101148","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"65","2023-05-15 14:27:17,782174530","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"66","2023-05-15 14:27:17,785520540","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"67","2023-05-15 14:27:17,789542817","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"68","2023-05-15 14:27:17,793052470","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"69","2023-05-15 14:27:17,797101175","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"70","2023-05-15 14:27:17,800786722","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"71","2023-05-15 14:27:17,804571043","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"72","2023-05-15 14:27:17,808290039","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"73","2023-05-15 14:27:17,812012098","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"74","2023-05-15 14:27:17,815400994","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"75","2023-05-15 14:27:17,819139170","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"76","2023-05-15 14:27:17,822875135","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"77","2023-05-15 14:27:17,826600195","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"78","2023-05-15 14:27:17,830326385","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"79","2023-05-15 14:27:17,834225374","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"80","2023-05-15 14:27:17,838217734","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"81","2023-05-15 14:27:17,841983187","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"82","2023-05-15 14:27:17,845745681","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"83","2023-05-15 14:27:17,849454562","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"84","2023-05-15 14:27:17,853023562","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"85","2023-05-15 14:27:17,856921282","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"86","2023-05-15 14:27:17,860646214","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"87","2023-05-15 14:27:17,864380114","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"88","2023-05-15 14:27:17,868086027","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"89","2023-05-15 14:27:17,871806730","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"90","2023-05-15 14:27:17,875367474","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"91","2023-05-15 14:27:17,878683624","Raspberr_b5:9f:7c","Broadcast","ARP","60","Who has 10.42.0.1? Tell 10.42.0.71"
"92","2023-05-15 14:27:17,878718689","CeLink_1d:40:46","Raspberr_b5:9f:7c","ARP","42","10.42.0.1 is at a0:ce:c8:1d:40:46"
"93","2023-05-15 14:27:17,878961576","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"94","2023-05-15 14:27:17,882690803","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"95","2023-05-15 14:27:17,886387681","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"96","2023-05-15 14:27:17,890144908","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"97","2023-05-15 14:27:17,894042277","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"98","2023-05-15 14:27:17,898079722","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"99","2023-05-15 14:27:17,901428489","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"100","2023-05-15 14:27:17,905524101","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"101","2023-05-15 14:27:17,909209757","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"102","2023-05-15 14:27:17,912868415","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"103","2023-05-15 14:27:17,916348326","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"104","2023-05-15 14:27:17,920286518","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"105","2023-05-15 14:27:17,923811235","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"106","2023-05-15 14:27:17,927564234","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"107","2023-05-15 14:27:17,931301306","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"108","2023-05-15 14:27:17,935036806","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"109","2023-05-15 14:27:17,938773073","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"110","2023-05-15 14:27:17,942488848","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"111","2023-05-15 14:27:17,946218546","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"112","2023-05-15 14:27:17,950212589","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"113","2023-05-15 14:27:17,954151947","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"114","2023-05-15 14:27:17,957766727","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"115","2023-05-15 14:27:17,961613487","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"116","2023-05-15 14:27:17,965380438","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"117","2023-05-15 14:27:17,969083956","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"118","2023-05-15 14:27:17,972839490","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"119","2023-05-15 14:27:17,976638360","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"120","2023-05-15 14:27:17,979904454","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"121","2023-05-15 14:27:17,983637358","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
"122","2023-05-15 14:27:17,987400638","10.42.0.1","10.42.0.5","UDP","1512","53442  >  5001 Len=1470"
