"No.","Time","Source","Destination","Protocol","Length","Identification","Info"
"41","2023-05-15 15:14:04,952469","10.42.0.1","10.42.0.5","UDP","1512","0x0abc (2748)","49290  >  5001 Len=1470"
"42","2023-05-15 15:14:04,956208","10.42.0.1","10.42.0.5","UDP","1512","0x0abd (2749)","49290  >  5001 Len=1470"
"43","2023-05-15 15:14:04,959954","10.42.0.1","10.42.0.5","UDP","1512","0x0abe (2750)","49290  >  5001 Len=1470"
"44","2023-05-15 15:14:04,963697","10.42.0.1","10.42.0.5","UDP","1512","0x0abf (2751)","49290  >  5001 Len=1470"
"45","2023-05-15 15:14:04,967421","10.42.0.1","10.42.0.5","UDP","1512","0x0ac0 (2752)","49290  >  5001 Len=1470"
"46","2023-05-15 15:14:04,971141","10.42.0.1","10.42.0.5","UDP","1512","0x0ac1 (2753)","49290  >  5001 Len=1470"
"47","2023-05-15 15:14:04,974851","10.42.0.1","10.42.0.5","UDP","1512","0x0ac2 (2754)","49290  >  5001 Len=1470"
"48","2023-05-15 15:14:04,978584","10.42.0.1","10.42.0.5","UDP","1512","0x0ac3 (2755)","49290  >  5001 Len=1470"
"49","2023-05-15 15:14:04,982487","10.42.0.1","10.42.0.5","UDP","1512","0x0ac4 (2756)","49290  >  5001 Len=1470"
"50","2023-05-15 15:14:04,986444","10.42.0.1","10.42.0.5","UDP","1512","0x0ac5 (2757)","49290  >  5001 Len=1470"
"51","2023-05-15 15:14:04,990059","10.42.0.1","10.42.0.5","UDP","1512","0x0ac6 (2758)","49290  >  5001 Len=1470"
"52","2023-05-15 15:14:04,993769","10.42.0.1","10.42.0.5","UDP","1512","0x0ac7 (2759)","49290  >  5001 Len=1470"
"53","2023-05-15 15:14:04,997335","10.42.0.1","10.42.0.5","UDP","1512","0x0ac8 (2760)","49290  >  5001 Len=1470"
"54","2023-05-15 15:14:05,001099","10.42.0.1","10.42.0.5","UDP","1512","0x0ac9 (2761)","49290  >  5001 Len=1470"
"55","2023-05-15 15:14:05,004792","10.42.0.1","10.42.0.5","UDP","1512","0x0aca (2762)","49290  >  5001 Len=1470"
"56","2023-05-15 15:14:05,008670","10.42.0.1","10.42.0.5","UDP","1512","0x0acb (2763)","49290  >  5001 Len=1470"
"57","2023-05-15 15:14:05,012422","10.42.0.1","10.42.0.5","UDP","1512","0x0acc (2764)","49290  >  5001 Len=1470"
"58","2023-05-15 15:14:05,016160","10.42.0.1","10.42.0.5","UDP","1512","0x0acd (2765)","49290  >  5001 Len=1470"
"59","2023-05-15 15:14:05,020198","10.42.0.1","10.42.0.5","UDP","1512","0x0ace (2766)","49290  >  5001 Len=1470"
