------------------------------------------------------------
Client connecting to 169.254.18.165, UDP port 5001
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 169.254.21.222 port 50128 connected with 169.254.18.165 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3] 37.0000-37.5000 sec   959 KBytes  15.7 Mbits/sec
[  3] 37.5000-38.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 38.0000-38.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 38.5000-39.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 39.0000-39.5000 sec   959 KBytes  15.7 Mbits/sec
[  3] 39.5000-40.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 40.0000-40.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 40.5000-41.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 41.0000-41.5000 sec   959 KBytes  15.7 Mbits/sec
[  3] 41.5000-42.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 42.0000-42.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 42.5000-43.0000 sec   959 KBytes  15.7 Mbits/sec
[  3] 43.0000-43.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 43.5000-44.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 44.0000-44.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 44.5000-45.0000 sec   959 KBytes  15.7 Mbits/sec
[  3] 45.0000-45.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 45.5000-46.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 46.0000-46.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 46.5000-47.0000 sec   959 KBytes  15.7 Mbits/sec
[  3] 47.0000-47.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 47.5000-48.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 48.0000-48.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 48.5000-49.0000 sec   959 KBytes  15.7 Mbits/sec
[  3] 49.0000-49.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 49.5000-50.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 50.0000-50.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 50.5000-51.0000 sec   959 KBytes  15.7 Mbits/sec
[  3] 51.0000-51.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 51.5000-52.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 52.0000-52.5000 sec   959 KBytes  15.7 Mbits/sec
[  3] 52.5000-53.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 53.0000-53.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 53.5000-54.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 54.0000-54.5000 sec   959 KBytes  15.7 Mbits/sec
[  3] 54.5000-55.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 55.0000-55.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 55.5000-56.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 56.0000-56.5000 sec   959 KBytes  15.7 Mbits/sec
[  3] 56.5000-57.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 57.0000-57.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 57.5000-58.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 58.0000-58.5000 sec   959 KBytes  15.7 Mbits/sec
[  3] 58.5000-59.0000 sec   960 KBytes  15.7 Mbits/sec
[  3] 59.0000-59.5000 sec   960 KBytes  15.7 Mbits/sec
[  3] 59.5000-60.0000 sec   959 KBytes  15.7 Mbits/sec
[  3] 0.0000-60.0016 sec   113 MBytes  15.7 Mbits/sec
[  3] Sent 0 datagrams
[  3] Server Report:
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 0.0000-60.0002 sec   113 MBytes  15.7 Mbits/sec   0.035 ms    0/80252 (0%)
